title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Psycho,"
109
",Horror;Mystery;Thriller,Alfred Hitchcock,Joseph Stefano;Robert Bloch,Anthony Perkins;Janet Leigh;Vera Miles,8.6,"378,068"
City Lights,"
87
",Comedy;Drama;Romance,Charles Chaplin,Charles Chaplin,Charles Chaplin;Virginia Cherrill;Florence Lee,8.6,"94,335"
Rear Window,"
112
",Mystery;Thriller,Alfred Hitchcock,John Michael Hayes;Cornell Woolrich,James Stewart;Grace Kelly;Wendell Corey,8.5,"284,808"
The Intouchables,"
112
",Biography;Comedy;Drama,Olivier Nakache;Eric Toledano,Olivier Nakache;Eric Toledano,François Cluzet;Omar Sy;Anne Le Ny,8.6,"426,932"
Modern Times,"
87
",Comedy;Drama,Charles Chaplin,Charles Chaplin,Charles Chaplin;Paulette Goddard;Henry Bergman,8.6,"124,314"
Terminator 2: Judgment Day,"
137
",Action;Sci-Fi,James Cameron,James Cameron;William Wisher Jr.,Arnold Schwarzenegger;Linda Hamilton;Edward Furlong,8.5,"669,560"
Whiplash,"
107
",Drama;Music,Damien Chazelle,Damien Chazelle,Miles Teller;J.K. Simmons;Melissa Benoist,8.5,"284,002"
The Green Mile,"
189
",Crime;Drama;Fantasy,Frank Darabont,Stephen King;Frank Darabont,Tom Hanks;Michael Clarke Duncan;David Morse,8.5,"686,514"
The Pianist,"
150
",Biography;Drama;War,Roman Polanski,Ronald Harwood;Wladyslaw Szpilman,Adrien Brody;Thomas Kretschmann;Frank Finlay,8.5,"440,041"
Memento,"
113
",Mystery;Thriller,Christopher Nolan,Christopher Nolan;Jonathan Nolan,Guy Pearce;Carrie-Anne Moss;Joe Pantoliano,8.5,"763,891"
The Departed,"
151
",Crime;Drama;Thriller,Martin Scorsese,William Monahan;Alan Mak,Leonardo DiCaprio;Matt Damon;Jack Nicholson,8.5,"777,082"
Gladiator,"
155
",Action;Drama,Ridley Scott,David Franzoni;David Franzoni,Russell Crowe;Joaquin Phoenix;Connie Nielsen,8.5,"877,753"
Apocalypse Now,"
153
",Drama;War,Francis Ford Coppola,John Milius;Francis Ford Coppola,Martin Sheen;Marlon Brando;Robert Duvall,8.5,"409,592"
Back to the Future,"
116
",Adventure;Comedy;Sci-Fi,Robert Zemeckis,Robert Zemeckis;Bob Gale,Michael J. Fox;Christopher Lloyd;Lea Thompson,8.5,"637,527"
Sunset Blvd.,"
110
",Drama;Film-Noir,Billy Wilder,Charles Brackett;Billy Wilder,William Holden;Gloria Swanson;Erich von Stroheim,8.5,"125,898"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"
95
",Comedy;War,Stanley Kubrick,Stanley Kubrick;Terry Southern,Peter Sellers;George C. Scott;Sterling Hayden,8.5,"313,107"
The Prestige,"
130
",Drama;Mystery;Thriller,Christopher Nolan,Jonathan Nolan;Christopher Nolan,Christian Bale;Hugh Jackman;Scarlett Johansson,8.5,"747,001"
Alien,"
117
",Horror;Sci-Fi,Ridley Scott,Dan O'Bannon;Ronald Shusett,Sigourney Weaver;Tom Skerritt;John Hurt,8.5,"504,963"
De leeuwenkoning,"
89
",Animation;Adventure;Drama,Roger Allers;Rob Minkoff,Irene Mecchi;Jonathan Roberts,Matthew Broderick;Jeremy Irons;James Earl Jones,8.5,"560,768"
The Lives of Others,"
137
",Drama;Thriller,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Ulrich Mühe;Martina Gedeck;Sebastian Koch,8.5,"232,967"
De dictator,"
125
",Comedy;Drama;War,Charles Chaplin,Charles Chaplin,Charles Chaplin;Paulette Goddard;Jack Oakie,8.5,"120,013"
Inside Out,"
94
",Animation;Adventure;Comedy,Pete Docter;Ronaldo Del Carmen,Pete Docter;Ronaldo Del Carmen,Amy Poehler;Bill Hader;Lewis Black,8.5,"110,723"
Nuovo Cinema Paradiso,"
155
",Drama,Giuseppe Tornatore,Giuseppe Tornatore;Giuseppe Tornatore,Philippe Noiret;Enzo Cannavale;Antonella Attili,8.5,"134,480"
The Shining,"
146
",Horror,Stanley Kubrick,Stephen King;Stanley Kubrick,Jack Nicholson;Shelley Duvall;Danny Lloyd,8.4,"542,079"
Paths of Glory,"
88
",Drama;War,Stanley Kubrick,Stanley Kubrick;Calder Willingham,Kirk Douglas;Ralph Meeker;Adolphe Menjou,8.5,"107,795"
Django Unchained,"
165
",Western,Quentin Tarantino,Quentin Tarantino,Jamie Foxx;Christoph Waltz;Leonardo DiCaprio,8.5,"822,073"
The Dark Knight Rises,"
165
",Action;Thriller,Christopher Nolan,Jonathan Nolan;Christopher Nolan,Christian Bale;Tom Hardy;Anne Hathaway,8.5,"1,015,234"
WALL·E,"
98
",Animation;Adventure;Family,Andrew Stanton,Andrew Stanton;Pete Docter,Ben Burtt;Elissa Knight;Jeff Garlin,8.4,"631,275"
American Beauty,"
122
",Drama;Romance,Sam Mendes,Alan Ball,Kevin Spacey;Annette Bening;Thora Birch,8.4,"745,632"
Hotaru no haka,"
89
",Animation;Drama;War,Isao Takahata,Akiyuki Nosaka;Isao Takahata,Tsutomu Tatsumi;Ayano Shiraishi;Akemi Yamaguchi,8.5,"118,532"
Aliens,"
137
",Action;Horror;Sci-Fi,James Cameron,James Cameron;David Giler,Sigourney Weaver;Michael Biehn;Carrie Henn,8.4,"442,809"
Citizen Kane,"
119
",Drama;Mystery,Orson Welles,Herman J. Mankiewicz;Orson Welles,Orson Welles;Joseph Cotten;Dorothy Comingore,8.4,"272,451"
North by Northwest,"
136
",Adventure;Mystery;Thriller,Alfred Hitchcock,Ernest Lehman,Cary Grant;Eva Marie Saint;James Mason,8.4,"201,458"
Mononoke-hime,"
134
",Animation;Adventure;Fantasy,Hayao Miyazaki,Hayao Miyazaki,Yôji Matsuda;Yuriko Ishida;Yûko Tanaka,8.4,"195,772"
Oldeuboi,"
120
",Drama;Mystery;Thriller,Chan-wook Park,Garon Tsuchiya;Nobuaki Minegishi,Min-sik Choi;Ji-tae Yu;Hye-jeong Kang,8.4,"316,467"
Vertigo,"
128
",Mystery;Romance;Thriller,Alfred Hitchcock,Alec Coppel;Samuel A. Taylor,James Stewart;Kim Novak;Barbara Bel Geddes,8.4,"222,229"
Das Boot,"
149
",Adventure;Drama;War,Wolfgang Petersen,Wolfgang Petersen;Lothar G. Buchheim,Jürgen Prochnow;Herbert Grönemeyer;Klaus Wennemann,8.4,"153,320"
M,"
117
",Crime;Drama;Thriller,Fritz Lang,Thea von Harbou;Fritz Lang,Peter Lorre;Ellen Widmann;Inge Landgut,8.4,"89,582"
Star Wars: Episode VI - Return of the Jedi,"
134
",Action;Adventure;Fantasy,Richard Marquand,Lawrence Kasdan;George Lucas,Mark Hamill;Harrison Ford;Carrie Fisher,8.4,"566,900"
Once Upon a Time in America,"
229
",Crime;Drama,Sergio Leone,Harry Grey;Leonardo Benvenuti,Robert De Niro;James Woods;Elizabeth McGovern,8.4,"198,187"
Amélie,"
122
",Comedy;Romance,Jean-Pierre Jeunet,Guillaume Laurant;Jean-Pierre Jeunet,Audrey Tautou;Mathieu Kassovitz;Rufus,8.4,"481,360"
Witness for the Prosecution,"
116
",Drama;Mystery;Thriller,Billy Wilder,Agatha Christie;Billy Wilder,Tyrone Power;Marlene Dietrich;Charles Laughton,8.4,"54,408"
Reservoir Dogs,"
99
",Crime;Drama,Quentin Tarantino,Quentin Tarantino;Roger Avary,Harvey Keitel;Tim Roth;Michael Madsen,8.4,"589,030"
Braveheart,"
178
",Biography;Drama;History,Mel Gibson,Randall Wallace,Mel Gibson;Sophie Marceau;Patrick McGoohan,8.4,"664,138"
Toy Story 3,"
103
",Animation;Adventure;Comedy,Lee Unkrich,John Lasseter;Andrew Stanton,Tom Hanks;Tim Allen;Joan Cusack,8.4,"479,687"
A Clockwork Orange,"
136
",Crime;Drama;Sci-Fi,Stanley Kubrick,Stanley Kubrick;Anthony Burgess,Malcolm McDowell;Patrick Magee;Michael Bates,8.4,"498,459"
Taxi Driver,"
113
",Crime;Drama,Martin Scorsese,Paul Schrader,Robert De Niro;Jodie Foster;Cybill Shepherd,8.4,"452,108"
Double Indemnity,"
107
",Crime;Drama;Film-Noir,Billy Wilder,Billy Wilder;Raymond Chandler,Fred MacMurray;Barbara Stanwyck;Edward G. Robinson,8.4,"88,061"
Requiem for a Dream,"
102
",Drama,Darren Aronofsky,Hubert Selby Jr.;Hubert Selby Jr.,Ellen Burstyn;Jared Leto;Jennifer Connelly,8.4,"518,798"
To Kill a Mockingbird,"
129
",Drama,Robert Mulligan,Harper Lee;Horton Foote,Gregory Peck;John Megna;Frank Overton,8.4,"191,730"
Lawrence of Arabia,"
216
",Adventure;Biography;Drama,David Lean,T.E. Lawrence;Robert Bolt,Peter O'Toole;Alec Guinness;Anthony Quinn,8.4,"172,995"
Eternal Sunshine of the Spotless Mind,"
108
",Drama;Romance;Sci-Fi,Michel Gondry,Charlie Kaufman;Michel Gondry,Jim Carrey;Kate Winslet;Tom Wilkinson,8.4,"598,689"
Full Metal Jacket,"
116
",Drama;War,Stanley Kubrick,Gustav Hasford;Stanley Kubrick,Matthew Modine;R. Lee Ermey;Vincent D'Onofrio,8.3,"432,808"
The Sting,"
129
",Comedy;Crime;Drama,George Roy Hill,David S. Ward,Paul Newman;Robert Redford;Robert Shaw,8.4,"158,112"
Amadeus,"
160
",Biography;Drama;History,Milos Forman,Peter Shaffer;Peter Shaffer,F. Murray Abraham;Tom Hulce;Elizabeth Berridge,8.3,"243,932"
Ladri di biciclette,"
93
",Drama,Vittorio De Sica,Cesare Zavattini;Luigi Bartolini,Lamberto Maggiorani;Enzo Staiola;Lianella Carell,8.4,"83,452"
Singin' in the Rain,"
103
",Comedy;Musical;Romance,Stanley Donen;Gene Kelly,Adolph Green;Betty Comden,Gene Kelly;Donald O'Connor;Debbie Reynolds,8.4,"134,986"
Monty Python and the Holy Grail,"
91
",Adventure;Comedy;Fantasy,Terry Gilliam;Terry Jones,Graham Chapman;John Cleese,Graham Chapman;John Cleese;Eric Idle,8.3,"348,031"
Snatch.,"
104
",Comedy;Crime,Guy Ritchie,Guy Ritchie,Jason Statham;Brad Pitt;Benicio Del Toro,8.3,"544,052"
2001: A Space Odyssey,"
160
",Mystery;Sci-Fi,Stanley Kubrick,Stanley Kubrick;Arthur C. Clarke,Keir Dullea;Gary Lockwood;William Sylvester,8.3,"379,833"
The Kid,"
68
",Comedy;Drama;Family,Charles Chaplin,Charles Chaplin,Charles Chaplin;Edna Purviance;Jackie Coogan,8.4,"57,156"
L.A. Confidential,"
138
",Crime;Drama;Mystery,Curtis Hanson,James Ellroy;Brian Helgeland,Kevin Spacey;Russell Crowe;Guy Pearce,8.3,"381,280"
Rashômon,"
88
",Crime;Drama,Akira Kurosawa,Ryûnosuke Akutagawa;Akira Kurosawa,Toshirô Mifune;Machiko Kyô;Masayuki Mori,8.3,"91,850"
Per qualche dollaro in più,"
132
",Western,Sergio Leone,Sergio Leone;Fulvio Morsella,Clint Eastwood;Lee Van Cleef;Gian Maria Volonté,8.3,"138,134"
Toy Story,"
81
",Animation;Adventure;Comedy,John Lasseter,John Lasseter;Pete Docter,Tom Hanks;Tim Allen;Don Rickles,8.3,"546,548"
Inglourious Basterds,"
153
",Adventure;Drama;War,Quentin Tarantino;Eli Roth,Quentin Tarantino,Brad Pitt;Diane Kruger;Eli Roth,8.3,"770,488"
The Apartment,"
125
",Comedy;Drama;Romance,Billy Wilder,Billy Wilder;I.A.L. Diamond,Jack Lemmon;Shirley MacLaine;Fred MacMurray,8.3,"97,712"
All About Eve,"
138
",Drama,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis;Anne Baxter;George Sanders,8.4,"75,280"
The Treasure of the Sierra Madre,"
126
",Action;Adventure;Drama,John Huston,John Huston;B. Traven,Humphrey Bogart;Walter Huston;Tim Holt,8.3,"72,027"
Jodaeiye Nader az Simin,"
123
",Drama,Asghar Farhadi,Asghar Farhadi,Peyman Moaadi;Leila Hatami;Sareh Bayat,8.4,"136,084"
Indiana Jones and the Last Crusade,"
127
",Action;Adventure,Steven Spielberg,Jeffrey Boam;George Lucas,Harrison Ford;Sean Connery;Alison Doody,8.3,"461,514"
Metropolis,"
153
",Drama;Sci-Fi,Fritz Lang,Thea von Harbou;Thea von Harbou,Brigitte Helm;Alfred Abel;Gustav Fröhlich,8.3,"100,274"
Yôjinbô,"
110
",Drama,Akira Kurosawa,Akira Kurosawa;Akira Kurosawa,Toshirô Mifune;Eijirô Tôno;Tatsuya Nakadai,8.3,"66,423"
The Third Man,"
104
",Film-Noir;Mystery;Thriller,Carol Reed,Graham Greene;Graham Greene,Orson Welles;Joseph Cotten;Alida Valli,8.3,"103,270"
Batman Begins,"
140
",Action;Adventure,Christopher Nolan,Bob Kane;David S. Goyer,Christian Bale;Michael Caine;Ken Watanabe,8.3,"866,431"
Scarface,"
170
",Crime;Drama,Brian De Palma,Oliver Stone,Al Pacino;Michelle Pfeiffer;Steven Bauer,8.3,"483,398"
Some Like It Hot,"
120
",Comedy,Billy Wilder,Billy Wilder;I.A.L. Diamond,Marilyn Monroe;Tony Curtis;Jack Lemmon,8.3,"158,689"
Unforgiven,"
131
",Western,Clint Eastwood,David Webb Peoples,Clint Eastwood;Gene Hackman;Morgan Freeman,8.3,"252,127"
3 Idiots,"
170
",Comedy;Drama,Rajkumar Hirani,Rajkumar Hirani;Abhijat Joshi,Aamir Khan;Madhavan;Mona Singh,8.5,"172,122"
Up,"
96
",Animation;Adventure;Comedy,Pete Docter;Bob Peterson,Pete Docter;Bob Peterson,Edward Asner;Jordan Nagai;John Ratzenberger,8.3,"579,167"
Raging Bull,"
129
",Biography;Drama;Sport,Martin Scorsese,Jake LaMotta;Joseph Carter,Robert De Niro;Cathy Moriarty;Joe Pesci,8.3,"213,773"
